posted_at,image,media_id,caption_preview
2026-08-04T12:27:22.453917,IMG_20260803_165858.jpg,18111000553807110,一枚板から広がる、木目の長い旅路🌳  丸太から挽き出した板は、木の生きてきた時間そのもの。 節や色の濃淡は、この木が森の中で受けてきた光や風の記憶です。  長さ
2026-08-04T13:20:19.853922,20260804.jpg,17866984158638662,1600mmの長さ、山桜の一枚板です。  節の周りの流れるような木目、見てて飽きないんです。 色味も端から端まで濃淡があって、写真だと伝わりにくいんですが実物は,https://auctions.yahoo.co.jp/jp/auction/k1239593519
2026-08-04T13:29:47.054329,test_carousel (10枚),18108996128012040,1600mmの長さ、木目がずっと一枚で流れてます。  ヤマザクラの一枚板、SKR-529です。 淡いピンクベージュの地色に、節と流れるような木目が効いてて、正直,https://auctions.yahoo.co.jp/jp/auction/k1239593519
2026-08-04T13:35:20.154332,test_carousel (10枚),18050606426572289,1600mmの長さ、ちょっと見てほしいんです。  今日出したのはヤマザクラの一枚板。 横に置くとほぼテーブル一枚分くらいの長さがあって、木目がゆったり流れている,https://auctions.yahoo.co.jp/jp/auction/k1239593519
2026-08-04T22:18:00.620112,auto-g1219483994 (10枚),18120577051882901,節あり、味あり。この一枚、正直好きです。  シナの板、プレーナーで仕上げたばかりの状態です🌿 表面がすっと滑らかで、節周りの色の入り方がなんとも言えない表情にな,https://auctions.yahoo.co.jp/jp/auction/g1219483994
2026-08-05T08:00:40.862602,auto-h1217798427 (10枚),17983623573040986,この縮杢、光の当たり方で表情変わるんです。  商品番号KED-232、イタヤカエデの一枚板です。 サイズは780mm×350~550mm×35mm。  イタヤカ,https://auctions.yahoo.co.jp/jp/auction/h1217798427
2026-08-05T08:21:30.888380,auto-d1239077972 (10枚),17964780192156034,片側だけすっと伸びた木目、なんか惹かれます。  商品番号SKR-521、ヤマザクラの一枚板です。 500mm×217~238mm×33mm、耳付きで木口側に少し,https://auctions.yahoo.co.jp/jp/auction/d1239077972
2026-08-05T11:46:52.889132,auto-r1234088959 (10枚),18092389271097831,この耳の曲線、けっこう好きです。  商品番号KRM-98、オニグルミの一枚板です。 サイズは1300mm×343~408mm×53mm、耳付きなので幅は場所によ,https://auctions.yahoo.co.jp/jp/auction/r1234088959
2026-08-06T08:00:02.765341,auto-j1219477533 (9枚),18121812140478667,1350mmの長尺、これはこれで使い道が広がります。  商品番号SNA-64、樹種はシナです。 シナは木目がおとなしくて色も白っぽく均一なので、塗装ののりが良く,https://auctions.yahoo.co.jp/jp/auction/j1219477533
2026-08-06T23:05:12.613417,auto-f1218969570 (10枚),18121273936859623,真っ二つに割れてるけど、これはこれで良い表情してます。  今日ご紹介するのはケヤキ、商品番号KYK-201。 375mm×約390mm×36mmのサイズで、写真,https://auctions.yahoo.co.jp/jp/auction/f1218969570
2026-08-06T23:12:55.899008,auto-x1235518346 (10枚),18024387881686072,木目の詰まり方、これはちょっと見てほしい一枚です。  商品番号KYK-214、樹種はケヤキ。 598mm×300~313mm×53mmと、しっかり厚みのある板に,https://auctions.yahoo.co.jp/jp/auction/x1235518346
2026-08-07T11:45:06.532501,auto-x1239581499 (10枚),17974389558076071,このケヤキ、真ん中に一本スッと通った白太が良い仕事してます。  商品番号KYK-251、サイズは1050mm×480~495mm×54mm。 乾燥もしっかり済ん,https://auctions.yahoo.co.jp/jp/auction/x1239581499
2026-08-07T12:19:45.634178,auto-n1222663725 (10枚),18129747844636856,片方の耳に、焦げたような黒い模様が入ってます。  これ、木が生きてた頃の傷跡みたいなもので、狙って出せるものじゃないんです。 イタヤカエデは木目が緻密で、白っぽ,https://auctions.yahoo.co.jp/jp/auction/n1222663725
